indicator_id,location_id,report_month,avg_price,median_price,yoy_growth,mom_growth,demand_index,inventory_count,avg_days_listed,investment_score
1,1,2018-01-01,81455374.94,81455374.94,,,51.7,2,40,20.68
2,1,2018-02-01,12793458.57,11487098.82,,-84.29,64.8,3,75,25.92
3,1,2018-04-01,10556582.67,10556582.67,,-17.48,72.7,2,46,29.08
4,1,2018-05-01,95351418.78,95351418.78,,803.24,48.3,2,68,19.32
5,1,2018-06-01,26070245.68,25609225.0,,-72.66,55.9,4,61,22.36
6,1,2018-07-01,48098345.95,25058632.32,,84.5,65.3,4,35,26.12
7,1,2018-08-01,63921029.01,58036820.1,,32.9,63.6,5,76,25.44
8,1,2018-09-01,91362258.11,91362258.11,,42.93,59.6,2,35,23.84
9,1,2018-10-01,34976674.91,26146215.27,,-61.72,91.5,5,55,36.6
10,1,2018-11-01,32341050.44,32341050.44,,-7.54,37.7,1,89,15.08
11,1,2018-12-01,29768770.32,20928297.39,,-7.95,67.7,3,84,27.08
12,1,2019-01-01,31093470.58,25126937.8,,4.45,67.8,4,65,27.12
13,1,2019-02-01,25027703.46,25027703.46,-69.27,-19.51,49.7,1,71,-21.68
14,1,2019-04-01,15642539.0,15642539.0,22.27,-37.5,58.4,2,73,36.72
15,1,2019-05-01,34595668.93,14791576.31,227.72,121.16,66.6,3,75,163.27
16,1,2019-06-01,55512169.46,72790094.0,-41.78,60.46,62.6,3,22,-0.03
17,1,2019-07-01,41167161.7,41167161.7,57.91,-25.84,62.8,1,57,59.87
18,1,2019-08-01,69397754.66,69397754.66,44.28,68.58,52.8,2,61,47.69
19,1,2019-09-01,16699770.56,16699770.56,-73.87,-75.94,66.2,2,53,-17.84
20,1,2019-10-01,14494377.9,14494377.9,-84.14,-13.21,49.3,1,81,-30.76
21,1,2019-11-01,67911845.37,72296670.6,94.16,368.54,61.9,3,90,81.26
22,1,2019-12-01,98151056.74,98151056.74,203.49,44.53,78.3,2,89,153.41
23,1,2020-01-01,19373699.44,23213364.52,-34.92,-80.26,72.4,5,19,8.01
24,1,2020-02-01,43263561.32,22708400.0,39.14,123.31,60.4,3,75,47.64
25,1,2020-03-01,23201955.86,23201955.86,-7.29,-46.37,55.5,1,26,17.83
26,1,2020-04-01,34702930.14,22778447.72,121.85,49.57,82.8,4,38,106.23
27,1,2020-05-01,25405849.62,25405849.62,-26.56,-26.79,75.5,1,90,14.26
28,1,2020-06-01,32231151.0,32231151.0,-41.94,26.87,59.3,1,64,-1.44
29,1,2020-08-01,57589204.11,53186150.84,39.89,78.68,80.6,4,27,56.17
30,1,2020-09-01,55370582.47,55370582.47,-20.21,-3.85,75.3,2,56,17.99
31,1,2020-10-01,28248933.0,28248933.0,69.16,-48.98,54.3,2,52,63.22
32,1,2020-11-01,73933659.43,54014458.02,410.09,161.72,73.9,3,85,275.61
33,1,2021-01-01,200403157.3,200403157.3,195.09,171.06,66.3,1,38,143.57
34,1,2021-02-01,13302353.2,13302353.2,-86.45,-93.36,62.9,2,76,-26.71
35,1,2021-03-01,6376443.92,6376443.92,-67.09,-52.07,58.2,1,16,-16.97
36,1,2021-04-01,37825270.56,40400592.75,-12.57,493.2,73.1,3,21,21.7
37,1,2021-05-01,25348027.72,25348027.72,9.25,-32.99,62.7,2,31,30.63
38,1,2021-06-01,44658179.34,29233148.4,28.69,76.18,54.8,3,88,39.13
39,1,2021-07-01,94186593.71,94186593.71,270.73,110.91,53.8,2,46,183.96
40,1,2021-08-01,15905393.34,15905393.34,-50.65,-83.11,58.7,2,42,-6.91
41,1,2021-09-01,10490413.43,10490413.43,-81.78,-34.04,68.4,1,28,-21.71
42,1,2021-10-01,13173389.96,13173389.96,-76.21,25.58,56.1,1,42,-23.29
43,1,2021-12-01,87912878.21,61513666.92,211.21,567.35,48.8,3,31,146.25
44,1,2022-01-01,34112628.44,34112628.44,-53.86,-61.2,55.3,1,65,-10.2
45,1,2022-02-01,26009228.16,26009228.16,-87.02,-23.75,43.4,2,80,-34.85
46,1,2022-03-01,37041790.21,37041790.21,178.46,42.42,49.2,1,88,126.76
47,1,2022-05-01,15095018.9,15095018.9,136.73,-59.25,39.5,1,39,97.84
48,1,2022-07-01,47093906.89,29270731.56,24.5,211.98,75.5,5,75,44.9
49,1,2022-08-01,49289424.7,52350106.32,94.45,4.66,74.9,3,48,86.63
50,1,2022-09-01,34334479.55,21957518.0,-23.12,-30.34,56.9,3,68,8.89
51,1,2022-10-01,92085828.18,92085828.18,-2.23,168.2,53.3,2,17,19.98
52,1,2022-11-01,43117731.68,43117731.68,171.09,-53.18,65.4,1,35,128.81
53,1,2023-01-01,112839568.85,112839568.85,975.64,161.7,58.4,2,23,608.74
54,1,2023-02-01,78532207.82,89490555.54,496.14,-30.4,59.2,3,46,321.36
55,1,2023-03-01,44836375.49,38450191.39,-49.0,-42.91,71.2,3,70,-0.92
56,1,2023-04-01,30565999.16,36159266.66,-10.4,-31.83,67.7,3,84,20.84
57,1,2023-05-01,55685661.34,55685661.34,114.1,82.18,52.6,2,83,89.5
58,1,2023-06-01,17391893.1,17507745.05,-53.05,-68.77,75.4,4,51,-1.67
59,1,2023-07-01,78418733.77,78418733.77,419.5,350.89,40.0,2,24,267.7
60,1,2023-08-01,23213761.22,23213761.22,-50.71,-70.4,59.6,2,61,-6.59
61,1,2023-09-01,73570165.78,39349260.45,49.26,216.92,60.6,3,78,53.8
62,1,2023-10-01,31315232.25,29500367.54,-8.79,-57.43,57.1,3,76,17.57
63,1,2023-11-01,141686480.06,141686480.06,53.86,352.45,41.7,1,25,49.0
64,1,2024-01-01,16556524.35,16556524.35,-61.6,-88.31,58.1,1,32,-13.72
65,1,2024-02-01,32279031.4,32279031.4,-71.39,94.96,72.1,2,23,-13.99
66,1,2024-03-01,243122292.35,243122292.35,209.58,653.19,51.0,1,82,146.15
67,1,2024-04-01,181115248.23,181115248.23,303.95,-25.5,44.6,1,49,200.21
68,1,2024-05-01,14901879.54,14901879.54,-51.25,-91.77,55.0,2,37,-8.75
69,1,2024-06-01,24291119.82,24291119.82,-56.38,63.01,67.0,1,62,-7.03
70,2,2018-01-01,36708328.08,36708328.08,,,47.0,1,23,18.8
71,2,2018-02-01,107206118.89,107206118.89,,192.05,68.3,2,90,27.32
72,2,2018-04-01,71911159.07,36196704.3,,-32.92,50.0,3,60,20.0
73,2,2018-05-01,49906172.62,15769088.9,,-30.6,60.5,3,67,24.2
74,2,2018-06-01,68370831.21,38196429.6,,37.0,69.3,3,25,27.72
75,2,2018-07-01,59764931.72,26260196.06,,-12.59,62.2,3,75,24.88
76,2,2018-08-01,34454508.24,34779881.76,,-42.35,86.8,5,70,34.72
77,2,2018-09-01,61833134.24,38318863.51,,79.46,71.0,3,61,28.4
78,2,2018-10-01,28433360.48,28433360.48,,-54.02,63.3,2,58,25.32
79,2,2018-11-01,82274693.73,82274693.73,,189.36,58.1,2,86,23.24
80,2,2019-01-01,47103097.6,47103097.6,,-42.75,61.0,1,35,24.4
81,2,2019-02-01,12865999.5,12865999.5,,-72.69,55.3,1,34,22.12
82,2,2019-03-01,27145969.22,27145969.22,-26.05,110.99,62.7,2,43,9.45
83,2,2019-04-01,35999270.72,35999270.72,-66.42,32.61,50.5,1,62,-19.65
84,2,2019-05-01,70367745.8,70367745.8,-2.15,95.47,69.3,1,61,26.43
85,2,2019-06-01,8630141.76,8630141.76,-82.71,-87.74,67.0,1,31,-22.83
86,2,2019-07-01,22415655.24,22415655.24,-67.21,159.74,43.2,1,84,-23.05
87,2,2019-08-01,110627037.62,110627037.62,85.1,393.53,46.7,2,56,69.74
88,2,2019-09-01,60950373.87,30008149.66,76.9,-44.9,64.0,4,86,71.74
89,2,2019-10-01,50393990.32,50393990.32,-18.5,-17.32,66.7,2,77,15.58
90,2,2019-11-01,25591510.49,23531769.58,-9.99,-49.22,54.2,5,18,15.69
91,2,2019-12-01,21486313.42,21486313.42,-73.88,-16.04,60.1,2,70,-20.29
92,2,2020-01-01,36251489.28,36251489.28,-23.04,68.72,49.3,1,39,5.9
93,2,2020-02-01,45818161.29,20691776.43,256.12,26.39,58.8,5,15,177.19
94,2,2020-03-01,87007020.46,87007020.46,220.52,89.9,56.8,2,34,155.03
95,2,2020-04-01,24315579.29,23441434.24,-32.46,-72.05,66.2,3,33,7.0
96,2,2020-05-01,59394698.14,59394698.14,-15.59,144.27,54.3,2,85,12.37
97,2,2020-07-01,26582172.06,26582172.06,208.02,-55.24,67.3,1,37,151.73
98,2,2020-09-01,29798293.78,28228596.9,32.94,12.1,74.4,5,43,49.52
99,2,2020-10-01,41165847.72,41165847.72,-62.79,38.15,55.3,1,45,-15.55
100,2,2020-11-01,42690450.18,25469247.76,-29.96,3.7,78.3,4,60,13.34
101,2,2020-12-01,14926730.57,14383830.15,-70.38,-65.03,61.1,4,33,-17.79
102,2,2021-01-01,142419705.65,193770389.54,456.51,854.13,59.2,3,84,297.59
103,2,2021-02-01,31396141.07,31396141.07,46.12,-77.96,59.1,2,71,51.31
104,2,2021-03-01,28235868.56,28235868.56,-22.11,-10.07,53.4,2,82,8.09
105,2,2021-05-01,27844872.8,31329447.2,-39.23,-1.38,55.1,4,78,-1.5
106,2,2021-06-01,137866989.0,137866989.0,58.46,395.13,54.7,1,28,56.96
107,2,2021-07-01,87305160.0,87305160.0,259.05,-36.67,56.4,1,62,177.99
108,2,2021-08-01,17098269.45,15675013.98,-71.21,-80.42,62.6,3,39,-17.69
109,2,2021-09-01,49991632.14,49991632.14,88.06,192.38,70.2,2,59,80.92
110,2,2021-10-01,96907284.0,96907284.0,225.21,93.85,61.3,2,67,159.65
111,2,2021-11-01,21590017.61,21590017.61,-47.55,-77.72,62.6,1,53,-3.49
112,2,2021-12-01,22945011.32,13456223.7,-46.25,6.28,67.6,3,77,-0.71
113,2,2022-04-01,8565493.6,8565493.6,-42.62,-62.67,63.5,1,35,-0.17
114,2,2022-05-01,35530446.97,33187611.6,-75.05,314.81,83.4,3,67,-11.67
115,2,2022-06-01,34760622.17,36430568.75,10.72,-2.17,76.7,5,82,37.11
116,2,2022-07-01,57838740.38,30197868.36,104.84,66.39,73.8,3,54,92.42
117,2,2022-08-01,49042884.73,49042884.73,76.13,-15.21,63.6,2,78,71.12
118,2,2022-09-01,27545363.88,27545363.88,-80.02,-43.83,70.1,2,49,-19.97
119,2,2022-10-01,38971383.78,38971383.78,-55.36,41.48,61.4,1,67,-8.66
120,2,2022-11-01,18765149.51,18765149.51,9.75,-51.85,48.6,1,50,25.29
121,2,2022-12-01,32348710.86,32348710.86,-35.29,72.39,61.7,2,61,3.51
122,2,2023-01-01,27896661.73,29355088.98,-71.21,-13.76,61.0,3,56,-18.33
123,2,2023-02-01,21073268.36,21073268.36,-2.39,-24.46,62.7,2,19,23.65
124,2,2023-03-01,21798353.5,21798353.5,-5.0,3.44,64.4,1,73,22.76
125,2,2023-04-01,30266499.88,30266499.88,253.35,38.85,59.3,2,34,175.73
126,2,2023-05-01,28501392.3,19852010.95,-19.78,-5.83,67.7,3,81,15.21
127,2,2023-06-01,16283251.8,16283251.8,-53.16,-42.87,75.2,1,46,-1.82
128,2,2023-07-01,78599123.18,19907499.6,35.89,382.7,66.4,3,28,48.09
129,2,2023-08-01,35855960.54,39775366.04,-26.89,-54.38,65.9,4,16,10.23
130,2,2023-09-01,37382989.92,35256774.3,35.71,4.26,51.6,3,30,42.07
131,2,2023-10-01,29694438.88,29152044.48,-23.8,-20.57,85.6,5,85,19.96
132,2,2024-01-01,112498116.34,65754092.39,499.51,278.85,67.4,3,60,326.67
133,2,2024-02-01,47571497.12,47571497.12,47.06,-57.71,67.6,1,21,55.28
134,2,2024-03-01,12445595.46,12445595.46,-55.39,-73.84,58.3,1,82,-9.91
135,2,2024-04-01,29679098.92,29679098.92,40.84,138.47,73.8,2,84,54.02
136,2,2024-05-01,27175269.42,27175269.42,24.67,-8.44,59.9,1,21,38.76
137,2,2024-06-01,88507282.72,88507282.72,192.43,225.69,54.3,2,84,137.18
138,3,2018-02-01,13823083.32,13823083.32,,,57.5,1,76,23.0
139,3,2018-03-01,15057131.8,11296615.42,,8.93,69.6,3,55,27.84
140,3,2018-04-01,22637316.94,22637316.94,,50.34,70.7,2,66,28.28
141,3,2018-05-01,16239760.08,16239760.08,,-28.26,55.6,1,54,22.24
142,3,2018-06-01,19135033.56,19533457.25,,17.83,49.3,3,59,19.72
143,3,2018-08-01,24798023.52,24798023.52,,29.59,56.2,2,18,22.48
144,3,2018-10-01,31569853.82,30625066.15,,27.31,69.2,3,58,27.68
145,3,2018-11-01,30365210.4,29742328.3,,-3.82,73.2,4,84,29.28
146,3,2018-12-01,31211769.86,31211769.86,,2.79,61.0,2,29,24.4
147,3,2019-01-01,24361860.98,24361860.98,,-21.95,62.7,2,16,25.08
148,3,2019-02-01,34655848.8,34655848.8,,42.25,55.4,1,55,22.16
149,3,2019-03-01,88494154.71,88494154.71,,155.35,57.1,2,82,22.84
150,3,2019-04-01,35302602.66,22961339.59,155.39,-60.11,74.8,3,16,123.15
151,3,2019-05-01,54416000.47,54416000.47,261.4,54.14,63.5,2,28,182.24
152,3,2019-06-01,16620858.85,12416138.7,-26.58,-69.46,60.2,3,15,8.13
153,3,2019-07-01,52482439.65,31516336.22,223.17,215.76,87.0,6,86,168.7
154,3,2019-08-01,48852204.57,48852204.57,155.3,-6.92,65.8,2,86,119.5
155,3,2019-09-01,93845923.97,93845923.97,278.44,92.1,62.9,2,68,192.22
156,3,2019-10-01,31743990.16,31743990.16,0.55,-66.17,43.6,2,77,17.77
157,3,2019-11-01,99782638.59,92435755.05,228.61,214.34,60.8,3,77,161.49
158,3,2019-12-01,29973376.32,28560840.0,-3.97,-69.96,59.8,3,48,21.54
159,3,2020-02-01,39049587.96,39459778.48,60.29,30.28,50.1,3,47,56.21
160,3,2020-03-01,53470880.19,53470880.19,54.29,36.93,37.6,1,78,47.61
161,3,2020-04-01,23805006.48,23805006.48,-73.1,-55.48,56.3,2,70,-21.34
162,3,2020-06-01,32286424.64,32286424.64,-8.54,35.63,59.0,1,25,18.48
163,3,2020-07-01,19536287.78,19536287.78,-64.1,-39.49,59.4,2,90,-14.7
164,3,2020-08-01,46275688.57,16859746.16,178.42,136.87,98.8,8,42,146.57
165,3,2020-09-01,81640654.76,81640654.76,55.56,76.42,69.2,1,72,61.02
166,3,2020-10-01,26401698.42,26626468.96,-45.96,-67.66,52.9,3,83,-6.42
167,3,2020-11-01,68881307.13,33273724.82,-26.6,160.9,76.6,3,85,14.68
168,3,2020-12-01,35270787.62,33074820.34,11.11,-48.79,61.7,3,69,31.35
169,3,2021-01-01,35210163.84,38061661.95,-64.71,-0.17,60.2,3,63,-14.75
170,3,2021-02-01,38876513.33,36800646.3,29.7,10.41,71.9,3,39,46.58
171,3,2021-03-01,191559577.67,191559577.67,390.55,392.74,67.8,1,64,261.45
172,3,2021-04-01,41752873.76,41752873.76,-21.91,-78.2,41.8,1,52,3.57
173,3,2021-05-01,13867390.14,13867390.14,-41.75,-66.79,59.7,1,64,-1.17
174,3,2021-06-01,83963305.83,60800757.24,160.06,505.47,80.4,5,57,128.2
175,3,2021-07-01,27122697.07,27122697.07,38.83,-67.7,63.4,2,46,48.66
176,3,2021-08-01,30352717.29,30352717.29,-34.41,11.91,59.9,2,43,3.31
177,3,2021-11-01,60581957.44,69859415.08,-25.79,99.59,69.1,3,44,12.17
178,3,2021-12-01,47191132.0,47191132.0,78.74,-22.1,47.0,1,53,66.04
179,3,2022-01-01,50344547.27,47387204.37,-26.91,6.68,67.8,4,71,10.97
180,3,2022-03-01,43228344.6,43228344.6,22.56,-14.14,54.7,1,71,35.42
181,3,2022-04-01,43581261.15,43581261.15,23.77,0.82,65.6,2,50,40.5
182,3,2022-05-01,18593379.86,18593379.86,-52.17,-57.34,54.6,1,88,-9.46
183,3,2022-07-01,21807098.08,21807098.08,-88.62,17.28,55.7,2,67,-30.89
184,3,2022-09-01,26492791.5,26492791.5,-36.55,21.49,57.2,1,44,0.95
185,3,2022-10-01,27925405.7,20723021.0,101.37,5.41,85.8,3,40,95.14
186,3,2022-11-01,48805345.44,33872647.2,-41.87,74.77,63.0,3,76,0.08
187,3,2022-12-01,102665394.96,102665394.96,278.52,110.36,38.7,1,88,182.59
188,3,2023-01-01,37523555.66,37523555.66,23.63,-63.45,50.4,1,33,34.34
189,3,2023-02-01,54473247.25,54473247.25,-10.08,45.17,48.2,1,34,13.23
190,3,2023-03-01,22609677.53,22609677.53,-52.09,-58.49,63.3,2,70,-5.93
191,3,2023-04-01,36154721.54,36154721.54,-28.19,59.91,45.7,1,36,1.37
192,3,2023-05-01,37494304.75,37494304.75,-13.26,3.71,65.1,2,79,18.08
193,3,2023-07-01,7319552.76,7319552.76,-83.2,-80.48,50.9,2,29,-29.56
