month,avg_price,median_price,avg_ppsf,txn_count,yoy_growth_pct,mom_growth_pct,rolling_3m_avg,rolling_6m_avg,rolling_12m_avg,t,forecast_price,is_forecast
2018-01-01,26133792.95918033,15029654.72,10223.013278688524,61.0,,,,,,0.0,27470656.80031021,False
2018-02-01,23099710.090508472,11487098.82,10802.89593220339,59.0,,-11.609806786986265,,,,1.0,27517695.715343665,False
2018-03-01,29110344.457234044,12837020.44,10818.464893617022,47.0,,26.020388754555434,26114615.83564095,,,2.0,27564734.630377118,False
2018-04-01,30458783.32589286,17361609.645,11363.982321428572,56.0,,4.632163905307962,27556279.291211795,,,3.0,27611773.545410573,False
2018-05-01,28374113.336610172,12506378.72,10048.221186440678,59.0,,-6.844232637193093,29314413.706579026,,,4.0,27658812.460444026,False
2018-06-01,26595292.125735294,13917468.55,10622.82338235294,68.0,,-6.269169329706326,28476062.92941278,27295339.38252686,,5.0,27705851.37547748,False
2018-07-01,23030714.300447762,12912239.56,9547.27223880597,67.0,,-13.40304069019126,26000039.920931075,26778159.60607143,,6.0,27752890.290510938,False
2018-08-01,25267652.0779661,12507730.96,11233.101694915254,59.0,,9.712845847229534,24964552.834716383,27139483.27064771,,7.0,27799929.20554439,False
2018-09-01,37528642.399814814,19541172.375,11100.024444444445,54.0,,48.52445444482174,28609002.926076222,28542532.927744497,,8.0,27846968.120577846,False
2018-10-01,27360579.42534483,18855439.175,10396.022586206898,58.0,,-27.094140166712133,30052291.301041912,28026165.610986497,,9.0,27894007.035611298,False
2018-11-01,27013040.32828125,17690298.619999997,10599.68640625,64.0,,-1.2702183373413667,30634087.384480298,27799320.10959834,,10.0,27941045.950644754,False
2018-12-01,26679421.706515152,12947336.58,10299.045606060607,66.0,,-1.2350280372432465,27017680.48671374,27813341.706394985,27554340.544460922,11.0,27988084.86567821,False
2019-01-01,26829026.92421875,13947667.875,10817.32203125,64.0,2.6602872614944983,0.560751351169908,26840496.31967172,28446393.810356814,27612276.708214123,12.0,28035123.780711662,False
2019-02-01,37308929.507954545,21988217.77,11352.87840909091,44.0,61.51254436428859,39.06180650284976,30272459.379562814,30453273.382021558,28796378.32633463,13.0,28082162.695745118,False
2019-03-01,29172528.48419355,14525751.215,10347.59435483871,62.0,0.2136148785558234,-21.808186756005032,31103494.97212228,29060587.729418013,28801560.328581255,14.0,28129201.61077857,False
2019-04-01,30982677.248307694,15709122.59,12024.524153846152,65.0,1.7200093543115136,6.204977278863333,32488045.080151927,29664270.69991182,28845218.155449156,15.0,28176240.525812026,False
2019-05-01,24850314.369090907,13547475.52,10867.341272727273,55.0,-12.419062846882422,-19.792875967656222,28335173.367197383,29303816.3733801,28551568.24148922,16.0,28223279.440845482,False
2019-06-01,21504149.140689656,11571112.530000001,9901.538275862069,58.0,-19.143023362842193,-13.465283290593888,25779046.919362754,28441270.945742518,28127306.326068748,17.0,28270318.355878934,False
2019-07-01,28571516.793783784,15262046.49,10902.672297297297,74.0,24.05831804021943,32.86513503443582,24975326.767854784,28731685.92400336,28589039.867180083,18.0,28317357.27091239,False
2019-08-01,30916172.576,17601482.25,11247.047272727272,55.0,22.35475017862669,8.206269898580732,26997279.503491145,27666226.435344264,29059749.90868291,19.0,28364396.185945842,False
2019-09-01,31724156.20686567,15434180.3,11271.531641791045,67.0,-15.466816334869037,2.6134659097255097,30403948.525549818,28091497.722456288,28576042.725937147,20.0,28411435.1009793,False
2019-10-01,26706857.51486111,16336196.59,11024.635277777777,72.0,-2.3892838683019946,-15.815388939860043,29782395.432575595,27378861.100215185,28521565.900063504,21.0,28458474.016012754,False
2019-11-01,30513212.818,20384088.34,11158.559384615384,65.0,12.957343739106086,14.252351857648659,29648075.51324226,28322677.508366704,28813246.9408734,22.0,28505512.931046207,False
2019-12-01,28300784.625357144,15652012.11,11844.77125,56.0,6.077204133873915,-7.250721862162369,28506951.652739417,29455450.089144617,28948360.517443568,23.0,28552551.846079662,False
2020-01-01,23982334.891756758,14351218.77,11588.344864864865,74.0,-10.610493032426248,-15.259116631455893,27598777.445037972,28690586.438806783,28711136.181405067,24.0,28599590.761113115,False
2020-02-01,31463897.47609375,16979132.549999997,12136.44359375,64.0,-15.666576631780849,31.196139233751442,27915672.331069216,28781873.922155738,28224050.178749997,25.0,28646629.67614657,False
2020-03-01,28710389.961129032,12449448.2,10289.679516129032,62.0,-1.5841565578208816,-8.751323694265245,28052207.44299318,28279579.5478663,28185538.63516129,26.0,28693668.591180027,False
2020-04-01,20915179.18710145,13305714.9,11157.96275362319,69.0,-32.493957770405856,-27.151183890506225,27029822.20810808,27314299.826573025,27346580.463394105,27.0,28740707.50621348,False
2020-05-01,33251965.076617647,17960521.009999998,11330.87,68.0,33.809031880807126,58.98484435229887,27625844.74161604,27770758.536342632,28046718.022354666,28.0,28787746.421246935,False
2020-06-01,30973267.139122806,14363978.28,11482.26894736842,57.0,44.03391148602063,-6.852821877577364,28380137.134280637,28216172.288636908,28835811.18889076,29.0,28834785.336280387,False
2020-07-01,28633771.2646,14642108.865,11108.2104,50.0,0.21788997505991503,-7.55327445443349,30953001.160113484,28991411.684110787,28840999.06145878,30.0,28881824.251313843,False
2020-08-01,31438247.48415385,19624718.28,12162.552307692307,65.0,1.688678981430991,9.794295671492726,30348428.62929222,28987136.68545413,28884505.303804934,31.0,28928863.1663473,False
