txn_id,property_id,sale_price,sale_date,price_per_sqft,transaction_type,sale_year,sale_month,sale_quarter
1,1,8976689.46,2020-12-30,17498.42,Resale,2020,12,4
2,1,12433421.97,2023-07-14,24236.69,Sale,2023,7,3
3,1,9845106.12,2020-11-06,19191.24,Sale,2020,11,4
4,1,12445595.46,2024-03-29,24260.42,Resale,2024,3,1
5,2,12020827.84,2019-08-16,6924.44,Resale,2019,8,3
6,3,2425765.41,2021-04-24,6573.89,Resale,2021,4,2
7,4,30228223.32,2018-07-03,6062.62,Resale,2018,7,3
8,4,46636451.28,2023-09-28,9353.48,Sale,2023,9,3
9,5,17879784.67,2023-10-15,10764.47,Resale,2023,10,4
10,5,17354659.52,2018-03-07,10448.32,Resale,2018,3,1
11,6,24473215.78,2021-03-25,7493.33,Sale,2021,3,1
12,7,2401568.4,2020-01-16,8516.2,Resale,2020,1,1
13,7,2078904.0,2018-02-22,7372.0,Resale,2018,2,1
14,8,28162389.04,2021-05-15,19707.76,Resale,2021,5,2
15,8,21962572.51,2020-12-15,15369.19,Resale,2020,12,4
16,8,36430568.75,2022-06-23,25493.75,Resale,2022,6,2
17,9,9901112.7,2018-04-06,5736.45,Resale,2018,4,2
18,10,4197187.98,2023-08-21,8040.59,Resale,2023,8,3
19,11,4960316.16,2022-05-26,8522.88,Resale,2022,5,2
20,11,4534949.82,2020-04-16,7792.01,Sale,2020,4,2
21,11,4816940.46,2019-01-20,8276.53,Resale,2019,1,1
22,11,4810678.14,2021-09-10,8265.77,Resale,2021,9,3
23,12,9657242.74,2019-07-06,18788.41,Sale,2019,7,3
24,12,13497547.48,2023-10-10,26259.82,Resale,2023,10,4
25,12,12894527.82,2023-12-15,25086.63,Resale,2023,12,4
26,12,10459822.9,2022-04-10,20349.85,Resale,2022,4,2
27,13,44174776.8,2020-08-31,17384.8,Sale,2020,8,3
28,13,46163134.71,2020-04-23,18167.31,Resale,2020,4,2
29,13,45467866.29,2018-08-03,17893.69,Resale,2018,8,3
30,13,41232908.64,2019-06-09,16227.04,Sale,2019,6,2
31,14,14102926.39,2018-12-28,7076.23,Sale,2018,12,4
32,15,12593168.65,2024-03-27,8702.95,Resale,2024,3,1
34,16,23323496.74,2021-02-08,17655.94,Resale,2021,2,1
35,16,15543916.38,2018-11-23,11766.78,Sale,2018,11,4
36,16,25532327.63,2020-05-27,19328.03,Sale,2020,5,2
37,16,30063648.25,2020-04-29,22758.25,Resale,2020,4,2
38,17,9489347.52,2020-11-16,5628.32,Resale,2020,11,4
39,18,19951465.22,2024-04-13,8009.42,Sale,2024,4,2
40,18,23248378.45,2024-05-21,9332.95,Resale,2024,5,2
41,19,10631756.25,2018-10-28,5670.27,Sale,2018,10,4
42,19,11899518.75,2020-11-29,6346.41,Resale,2020,11,4
43,19,17652225.0,2024-04-26,9414.52,Sale,2024,4,2
44,20,26429849.6,2020-08-13,7374.4,Resale,2020,8,3
45,20,25559045.12,2022-12-10,7131.43,Sale,2022,12,4
46,20,25571804.16,2024-04-16,7134.99,Sale,2024,4,2
47,21,7274436.75,2019-01-16,9386.37,Resale,2019,1,1
48,21,8007385.25,2023-04-27,10332.11,Sale,2023,4,2
49,21,5130988.25,2018-08-19,6620.63,Resale,2018,8,3
50,22,6642359.62,2019-06-01,9640.58,Resale,2019,6,2
51,22,7588714.9,2023-07-15,11014.1,Sale,2023,7,3
52,23,14500609.2,2023-09-23,8967.6,Resale,2023,9,3
53,23,12263053.11,2023-12-06,7583.83,Resale,2023,12,4
54,23,11593987.02,2021-09-20,7170.06,Resale,2021,9,3
55,24,56554792.14,2019-11-15,10061.34,Resale,2019,11,4
56,24,77239397.62,2023-12-31,13741.22,Sale,2023,12,4
57,25,11805896.57,2023-11-23,9201.79,Sale,2023,11,4
58,25,13021090.02,2024-01-07,10148.94,Sale,2024,1,1
59,26,5221520.82,2023-11-29,8133.21,Sale,2023,11,4
60,27,45587467.64,2020-10-02,18652.81,Resale,2020,10,4
61,27,37810317.48,2020-05-08,15470.67,Sale,2020,5,2
62,28,5936089.11,2023-09-20,11801.37,Resale,2023,9,3
63,28,5868812.86,2022-10-16,11667.62,Resale,2022,10,4
64,28,5411389.69,2022-09-27,10758.23,Resale,2022,9,3
65,28,5090279.52,2022-08-05,10119.84,Resale,2022,8,3
66,29,15144383.7,2022-06-24,9262.62,Resale,2022,6,2
67,30,5451547.86,2024-03-09,13167.99,Sale,2024,3,1
68,30,5606888.94,2023-05-19,13543.21,Resale,2023,5,2
69,30,3893570.64,2021-02-23,9404.76,Resale,2021,2,1
70,31,36479213.45,2021-10-03,19434.85,Sale,2021,10,4
71,31,38664060.22,2018-11-22,20598.86,Sale,2018,11,4
72,31,41656617.63,2022-01-03,22193.19,Sale,2022,1,1
73,31,31478678.98,2018-11-29,16770.74,Resale,2018,11,4
74,32,8006702.84,2021-11-12,9983.42,Resale,2021,11,4
75,32,7640910.64,2019-10-12,9527.32,Resale,2019,10,4
76,32,9542324.32,2021-01-29,11898.16,Resale,2021,1,1
77,33,12817272.39,2018-12-23,6865.17,Sale,2018,12,4
78,33,16884363.86,2021-04-07,9043.58,Resale,2021,4,2
79,33,14630092.05,2019-10-03,7836.15,Resale,2019,10,4
80,34,10830735.3,2021-08-16,19001.29,Sale,2021,8,3
81,34,9728275.5,2019-04-28,17067.15,Resale,2019,4,2
82,34,12034985.7,2022-10-05,21114.01,Resale,2022,10,4
83,34,10164621.9,2021-10-02,17832.67,Sale,2021,10,4
84,35,40754941.78,2022-07-23,20942.93,Resale,2022,7,3
85,35,48839618.24,2021-07-27,25097.44,Sale,2021,7,3
86,35,43271100.32,2022-01-07,22235.92,Resale,2022,1,1
87,36,62647633.92,2019-04-03,8662.56,Resale,2019,4,2
88,36,99263322.24,2022-12-10,13725.57,Resale,2022,12,4
89,36,64757714.56,2020-08-31,8954.33,Sale,2020,8,3
90,37,4707417.26,2024-05-06,8421.14,Sale,2024,5,2
91,38,193632656.4,2023-08-28,26852.4,Sale,2023,8,3
92,38,140098552.95,2018-09-07,19428.45,Sale,2018,9,3
93,38,158437568.15,2022-06-11,21971.65,Sale,2022,6,2
94,39,11263344.4,2018-12-18,7698.8,Resale,2018,12,4
95,40,30324510.84,2019-09-28,9884.13,Sale,2019,9,3
96,40,27944325.76,2021-02-24,9108.32,Sale,2021,2,1
97,40,20847827.0,2019-06-02,6795.25,Resale,2019,6,2
98,40,34995694.24,2024-01-27,11406.68,Sale,2024,1,1
99,41,4409846.18,2019-11-17,10782.02,Resale,2019,11,4
100,41,4329751.71,2022-04-12,10586.19,Resale,2022,4,2
101,41,5282558.11,2024-03-16,12915.79,Sale,2024,3,1
102,42,21684821.06,2022-11-21,11407.06,Sale,2022,11,4
103,42,13632109.02,2018-12-06,7171.02,Sale,2018,12,4
104,42,19204073.09,2021-01-29,10102.09,Sale,2021,1,1
105,43,59484080.62,2020-03-16,8177.63,Resale,2020,3,1
106,43,62707408.24,2024-03-17,8620.76,Sale,2024,3,1
107,44,7892749.35,2021-09-28,7900.65,Sale,2021,9,3
108,45,31534933.68,2020-09-18,10553.86,Resale,2020,9,3
109,45,35264286.36,2023-11-29,11801.97,Resale,2023,11,4
110,45,37535315.76,2022-06-28,12562.02,Resale,2022,6,2
111,45,29817939.24,2019-03-04,9979.23,Resale,2019,3,1
112,46,20114256.47,2020-12-05,17847.61,Resale,2020,12,4
113,46,23713139.38,2022-09-04,21040.94,Sale,2022,9,3
114,46,23995779.71,2021-11-14,21291.73,Sale,2021,11,4
115,47,14843461.86,2022-05-29,12952.41,Sale,2022,5,2
116,47,12062624.1,2022-11-27,10525.85,Resale,2022,11,4
117,48,3370889.28,2022-07-09,6384.26,Sale,2022,7,3
118,48,4697473.44,2023-07-24,8896.73,Sale,2023,7,3
119,48,3120812.64,2018-07-16,5910.63,Resale,2018,7,3
120,49,13233085.44,2022-06-07,9438.72,Resale,2022,6,2
121,49,17199203.24,2024-06-06,12267.62,Sale,2024,6,2
122,50,5709222.54,2019-09-20,7694.37,Resale,2019,9,3
123,51,17501520.08,2022-12-26,7504.94,Sale,2022,12,4
124,51,20879631.96,2023-08-16,8953.53,Resale,2023,8,3
125,51,16398367.48,2018-06-24,7031.89,Sale,2018,6,2
126,51,16598243.2,2018-12-17,7117.6,Resale,2018,12,4
127,52,7794677.2,2020-06-09,7151.08,Sale,2020,6,2
128,52,6603536.1,2018-03-22,6058.29,Resale,2018,3,1
129,52,8746868.5,2023-02-03,8024.65,Resale,2023,2,1
130,53,161866759.23,2024-02-27,26803.57,Sale,2024,2,1
131,53,124452074.34,2019-01-01,20608.06,Sale,2019,1,1
132,53,119308718.43,2022-05-02,19756.37,Sale,2022,5,2
133,54,41463148.29,2020-11-30,9846.39,Sale,2020,11,4
134,54,31830359.46,2022-02-27,7558.86,Resale,2022,2,1
135,54,42916027.51,2023-05-11,10191.41,Resale,2023,5,2
136,54,41125847.19,2021-03-27,9766.29,Resale,2021,3,1
137,55,49455329.04,2023-01-01,9219.86,Sale,2023,1,1
138,56,11393368.92,2021-11-07,9639.06,Sale,2021,11,4
139,56,13169276.64,2024-04-23,11141.52,Sale,2024,4,2
140,56,13394459.46,2023-08-30,11332.03,Sale,2023,8,3
141,56,15623132.28,2023-02-12,13217.54,Resale,2023,2,1
142,57,29672006.25,2022-02-25,19106.25,Sale,2022,2,1
143,57,23093047.88,2019-09-20,14869.96,Resale,2019,9,3
144,57,34418843.93,2021-05-09,22162.81,Sale,2021,5,2
145,58,8644340.43,2019-11-08,7937.87,Resale,2019,11,4
146,58,10554010.83,2020-04-23,9691.47,Sale,2020,4,2
147,58,7884556.02,2022-10-26,7240.18,Resale,2022,10,4
148,59,16851708.72,2023-10-31,23021.46,Sale,2023,10,4
149,59,19516906.08,2023-10-21,26662.44,Resale,2023,10,4
150,60,44936661.0,2021-01-19,7781.24,Resale,2021,1,1
151,60,45454851.75,2022-12-28,7870.97,Resale,2022,12,4
152,60,48492848.25,2021-12-06,8397.03,Resale,2021,12,4
153,60,41108298.0,2021-07-31,7118.32,Sale,2021,7,3
154,61,4528816.53,2018-03-18,7715.19,Resale,2018,3,1
155,61,4119254.89,2021-08-28,7017.47,Resale,2021,8,3
156,61,3762975.24,2020-12-14,6410.52,Sale,2020,12,4
157,61,4689437.34,2021-06-07,7988.82,Sale,2021,6,2
158,62,44523135.64,2024-01-09,6120.86,Resale,2024,1,1
159,62,62090063.86,2023-07-11,8535.89,Sale,2023,7,3
160,62,44192095.9,2021-10-09,6075.35,Resale,2021,10,4
161,62,66481377.66,2024-04-27,9139.59,Sale,2024,4,2
162,63,5424088.82,2018-01-11,7155.79,Resale,2018,1,1
163,63,5262725.78,2018-08-09,6942.91,Resale,2018,8,3
164,64,9139871.25,2020-09-14,7661.25,Resale,2020,9,3
165,64,8421184.19,2019-04-07,7058.83,Resale,2019,4,2
166,64,8379667.79,2020-05-12,7024.03,Resale,2020,5,2
167,64,12295821.52,2023-03-15,10306.64,Resale,2023,3,1
168,65,6568542.7,2018-07-28,6806.78,Sale,2018,7,3
169,66,3319940.61,2019-05-20,7528.21,Resale,2019,5,2
170,67,54729617.8,2023-03-09,9538.1,Resale,2023,3,1
171,67,45121910.6,2020-07-25,7863.7,Resale,2020,7,3
172,67,52113032.42,2020-12-12,9082.09,Sale,2020,12,4
173,68,17671557.8,2020-12-10,7996.18,Resale,2020,12,4
174,69,11039148.2,2019-12-10,7413.8,Resale,2019,12,4
175,69,11917077.49,2022-02-05,8003.41,Resale,2022,2,1
176,70,98843918.4,2022-07-02,10816.8,Resale,2022,7,3
177,70,79527008.82,2019-03-02,8702.89,Sale,2019,3,1
178,70,104932019.52,2021-11-04,11483.04,Resale,2021,11,4
179,71,49461888.2,2021-06-19,9457.34,Sale,2021,6,2
180,71,58883628.6,2022-05-31,11258.82,Resale,2022,5,2
181,71,62285900.5,2022-03-13,11909.35,Resale,2022,3,1
182,71,53669370.9,2020-05-26,10261.83,Resale,2020,5,2
183,72,11223380.48,2020-08-31,6997.12,Sale,2020,8,3
184,72,16550825.88,2024-01-07,10318.47,Resale,2024,1,1
185,73,12529404.04,2021-12-02,21022.49,Sale,2021,12,4
186,73,8295145.88,2021-11-10,13918.03,Resale,2021,11,4
187,73,11165243.48,2021-05-19,18733.63,Resale,2021,5,2
188,74,47024253.0,2023-08-17,9870.75,Sale,2023,8,3
189,74,45237228.96,2022-08-02,9495.64,Resale,2022,8,3
190,74,32921002.68,2018-07-01,6910.37,Sale,2018,7,3
191,75,21943903.97,2019-04-27,7538.27,Sale,2019,4,2
192,75,21271346.53,2022-08-09,7307.23,Sale,2022,8,3
193,75,20530526.14,2020-09-03,7052.74,Sale,2020,9,3
194,76,16133329.6,2022-12-24,12814.4,Sale,2022,12,4
195,76,14053952.61,2021-05-16,11162.79,Sale,2021,5,2
196,76,14845108.21,2023-03-20,11791.19,Sale,2023,3,1
197,77,10298879.52,2022-06-29,10909.83,Resale,2022,6,2
198,77,10275005.76,2019-01-29,10884.54,Resale,2019,1,1
199,77,12531911.52,2023-07-12,13275.33,Resale,2023,7,3
200,78,36999121.0,2021-04-06,8267.96,Sale,2021,4,2
201,78,39873592.5,2024-03-27,8910.3,Resale,2024,3,1
202,79,8902853.88,2024-05-31,9112.44,Resale,2024,5,2
203,79,7407741.01,2018-06-20,7582.13,Sale,2018,6,2
204,79,7715085.67,2023-08-08,7896.71,Resale,2023,8,3
205,80,13210715.1,2022-07-07,7748.22,Sale,2022,7,3
206,80,10448154.75,2019-05-18,6127.95,Resale,2019,5,2
207,80,13704090.95,2018-04-15,8037.59,Sale,2018,4,2
208,81,2658068.9,2019-02-17,8714.98,Sale,2019,2,1
209,81,2878080.65,2018-11-15,9436.33,Resale,2018,11,4
210,81,3190296.95,2021-11-26,10459.99,Sale,2021,11,4
211,81,3699448.7,2018-06-11,12129.34,Sale,2018,6,2
212,82,39192694.94,2018-05-25,6844.69,Resale,2018,5,2
213,82,37572809.54,2023-02-28,6561.79,Resale,2023,2,1
214,82,57757589.4,2024-06-11,10086.9,Sale,2024,6,2
215,82,46136844.18,2023-06-26,8057.43,Resale,2023,6,2
216,83,5948725.9,2023-12-07,11417.9,Resale,2023,12,4
217,83,5086496.95,2021-07-09,9762.95,Sale,2021,7,3
218,84,9498680.31,2019-10-02,7051.73,Sale,2019,10,4
219,84,11094605.91,2022-02-04,8236.53,Sale,2022,2,1
220,84,10985162.16,2024-03-01,8155.28,Resale,2024,3,1
221,84,10194796.44,2022-12-29,7568.52,Resale,2022,12,4
222,85,5768669.1,2021-12-16,8360.39,Sale,2021,12,4
223,85,4305468.9,2022-10-21,6239.81,Resale,2022,10,4
224,86,56475616.45,2022-02-16,9229.55,Resale,2022,2,1
225,86,85939335.73,2023-11-30,14044.67,Resale,2023,11,4
226,87,14710536.75,2023-06-27,8782.41,Sale,2023,6,2
227,88,11534396.58,2019-06-09,6952.62,Sale,2019,6,2
228,88,12024232.92,2023-12-28,7247.88,Sale,2023,12,4
229,88,13610734.62,2021-01-11,8204.18,Sale,2021,1,1
230,88,14544237.33,2020-05-25,8766.87,Sale,2020,5,2
231,89,41753977.26,2019-03-13,25122.73,Sale,2019,3,1
232,89,36708328.08,2018-01-30,22086.84,Sale,2018,1,1
233,89,31543712.94,2021-01-19,18979.37,Sale,2021,1,1
234,90,14833257.2,2023-04-02,11003.9,Resale,2023,4,2
235,91,6983587.84,2023-07-11,7493.12,Resale,2023,7,3
236,91,6568894.44,2020-07-17,7048.17,Resale,2020,7,3
237,92,6355183.38,2020-07-10,9822.54,Resale,2020,7,3
238,92,7236397.38,2023-05-20,11184.54,Resale,2023,5,2
239,92,9000727.56,2022-12-14,13911.48,Sale,2022,12,4
240,92,5786580.37,2021-01-02,8943.71,Sale,2021,1,1
241,93,58872700.1,2018-02-15,8951.3,Sale,2018,2,1
242,93,57896673.3,2023-02-12,8802.9,Sale,2023,2,1
243,94,5920176.96,2022-11-25,9024.66,Resale,2022,11,4
244,94,5239629.44,2024-04-15,7987.24,Sale,2024,4,2
245,94,6447496.0,2022-05-16,9828.5,Sale,2022,5,2
246,95,13634741.88,2021-11-04,7402.14,Sale,2021,11,4
247,95,12348768.0,2022-08-28,6704.0,Sale,2022,8,3
248,96,8003837.34,2020-12-19,7536.57,Sale,2020,12,4
249,96,8941678.92,2019-08-03,8419.66,Resale,2019,8,3
250,96,12192375.96,2022-10-24,11480.58,Sale,2022,10,4
251,96,10041454.26,2018-12-29,9455.23,Sale,2018,12,4
252,97,12965712.13,2020-03-14,7371.07,Sale,2020,3,1
253,97,13680921.53,2018-11-06,7777.67,Resale,2018,11,4
254,98,12997582.92,2021-08-13,6624.66,Sale,2021,8,3
256,99,2411276.76,2023-06-27,8736.51,Sale,2023,6,2
257,100,91011886.1,2021-06-07,12264.1,Resale,2021,6,2
258,100,91099231.27,2021-07-28,12275.87,Resale,2021,7,3
259,100,63136012.75,2020-12-17,8507.75,Resale,2020,12,4
260,101,49482529.2,2022-03-05,10430.55,Sale,2022,3,1
261,101,51973034.32,2020-01-11,10955.53,Resale,2020,1,1
262,101,46589970.08,2021-07-22,9820.82,Resale,2021,7,3
263,101,51018399.2,2021-03-19,10754.3,Sale,2021,3,1
264,102,32971749.57,2023-11-04,7723.53,Sale,2023,11,4
265,103,11670857.38,2018-12-16,6084.91,Sale,2018,12,4
266,103,14857480.12,2022-04-14,7746.34,Resale,2022,4,2
267,103,16761689.7,2020-02-08,8739.15,Sale,2020,2,1
268,104,13951438.8,2019-08-15,9555.78,Sale,2019,8,3
269,104,16962966.2,2020-04-24,11618.47,Sale,2020,4,2
270,104,15635870.0,2020-06-05,10709.5,Resale,2020,6,2
271,105,71369115.76,2023-10-03,10078.96,Resale,2023,10,4
272,105,53577536.78,2019-02-13,7566.38,Resale,2019,2,1
273,105,65286607.57,2023-07-28,9219.97,Sale,2023,7,3
274,105,50804333.94,2020-12-01,7174.74,Resale,2020,12,4
275,106,25268698.8,2019-11-11,10099.4,Sale,2019,11,4
276,106,17750864.34,2018-11-02,7094.67,Resale,2018,11,4
277,107,7718586.0,2020-03-23,5983.4,Sale,2020,3,1
